5.7683,4.1683,2.0683,0.86833,1
5.5683,3.6683,2.0683,0.86833,1
5.3683,3.8683,1.9683,0.86833,1
5.2683,3.7683,2.1683,0.86833,1
5.6683,4.2683,2.0683,0.86833,1
6.0683,4.5683,2.3683,1.0683,1
5.2683,4.0683,2.0683,0.96833,1
5.6683,4.0683,2.1683,0.86833,1
5.0683,3.5683,2.0683,0.86833,1
5.5683,3.7683,2.1683,0.76833,1
6.0683,4.3683,2.1683,0.86833,1
5.4683,4.0683,2.2683,0.86833,1
5.4683,3.6683,2.0683,0.76833,1
4.9683,3.6683,1.7683,0.76833,1
6.4683,4.6683,1.8683,0.86833,1
6.3683,5.0683,2.1683,1.0683,1
6.0683,4.5683,1.9683,1.0683,1
5.7683,4.1683,2.0683,0.96833,1
6.3683,4.4683,2.3683,0.96833,1
5.7683,4.4683,2.1683,0.96833,1
6.0683,4.0683,2.3683,0.86833,1
5.7683,4.3683,2.1683,1.0683,1
5.2683,4.2683,1.6683,0.86833,1
5.7683,3.9683,2.3683,1.1683,1
5.4683,4.0683,2.5683,0.86833,1
5.6683,3.6683,2.2683,0.86833,1
5.6683,4.0683,2.2683,1.0683,1
5.8683,4.1683,2.1683,0.86833,1
5.8683,4.0683,2.0683,0.86833,1
5.3683,3.8683,2.2683,0.86833,1
5.4683,3.7683,2.2683,0.86833,1
6.0683,4.0683,2.1683,1.0683,1
5.8683,4.7683,2.1683,0.76833,1
6.1683,4.8683,2.0683,0.86833,1
5.5683,3.7683,2.1683,0.76833,1
5.6683,3.8683,1.8683,0.86833,1
6.1683,4.1683,1.9683,0.86833,1
5.5683,3.7683,2.1683,0.76833,1
5.0683,3.6683,1.9683,0.86833,1
5.7683,4.0683,2.1683,0.86833,1
5.6683,4.1683,1.9683,0.96833,1
5.1683,2.9683,1.9683,0.96833,1
5.0683,3.8683,1.9683,0.86833,1
5.6683,4.1683,2.2683,1.2683,1
5.7683,4.4683,2.5683,1.0683,1
5.4683,3.6683,2.0683,0.96833,1
5.7683,4.4683,2.2683,0.86833,1
5.2683,3.8683,2.0683,0.86833,1
5.9683,4.3683,2.1683,0.86833,1
5.6683,3.9683,2.0683,0.86833,1
8.3975,4.5975,6.0975,2.7975,2
7.7975,4.5975,5.8975,2.8975,2
8.2975,4.4975,6.2975,2.8975,2
6.8975,3.6975,5.3975,2.6975,2
7.8975,4.1975,5.9975,2.8975,2
7.0975,4.1975,5.8975,2.6975,2
7.6975,4.6975,6.0975,2.9975,2
6.2975,3.7975,4.6975,2.3975,2
7.9975,4.2975,5.9975,2.6975,2
6.5975,4.0975,5.2975,2.7975,2
6.3975,3.3975,4.8975,2.3975,2
